,model,clip,predicted,dylan_label,ellie_label,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14
197,spatial_sup,3_1b_task3 20261-20711,WASH,/,n,WASH=0.5262,PLAY=0.3167,EAT=0.2479,TAKE=0.1204,PUT=0.0919,GIVE=0.0793,GET=0.0147,WALK=-0.0604,GO=-0.0830,THROW=-0.1261,OPEN=-0.2021,HOLD=-0.2279,DROP=-0.2978,PICK=-0.4859
198,cnn_sup,3_1b_task3 20261-20711,EAT,n,n,WASH=0.5262,PLAY=0.3167,EAT=0.2479,TAKE=0.1204,PUT=0.0919,GIVE=0.0793,GET=0.0147,WALK=-0.0604,GO=-0.0830,THROW=-0.1261,OPEN=-0.2021,HOLD=-0.2279,DROP=-0.2978,PICK=-0.4859
199,rand,3_1b_task3 20261-20711,GO,n,y,,,,,,,,,,,,,,
200,spatial_unsup,3_1b_task3 20711-21161,THROW,/,n,THROW=0.0084,PLAY=0.0066,PUT=0.0063,WALK=0.0060,EAT=0.0053,GET=0.0050,GO=0.0046,WASH=0.0045,GIVE=0.0043,TAKE=0.0038,PICK=0.0034,OPEN=0.0032,DROP=0.0032,HOLD=0.0018
201,cnn_unsup,3_1b_task3 20711-21161,GIVE,n,n,GIVE=0.9979,THROW=0.9965,OPEN=0.9962,DROP=0.9958,PUT=0.9944,PICK=0.9940,TAKE=0.9940,PLAY=0.9939,EAT=0.9938,GO=0.9937,HOLD=0.9935,GET=0.9872,WASH=0.9849,WALK=0.9818
202,spatial_sup,3_1b_task3 20711-21161,EAT,n,n,EAT=0.7271,WASH=0.3234,OPEN=0.1365,GO=0.1312,HOLD=0.1289,TAKE=0.1139,GET=0.0965,PLAY=-0.0025,PUT=-0.0794,WALK=-0.1274,THROW=-0.1509,GIVE=-0.1579,DROP=-0.3399,PICK=-0.5290
203,cnn_sup,3_1b_task3 20711-21161,PICK,n,n,EAT=0.7271,WASH=0.3234,OPEN=0.1365,GO=0.1312,HOLD=0.1289,TAKE=0.1139,GET=0.0965,PLAY=-0.0025,PUT=-0.0794,WALK=-0.1274,THROW=-0.1509,GIVE=-0.1579,DROP=-0.3399,PICK=-0.5290
204,rand,3_1b_task3 20711-21161,THROW,/,n,,,,,,,,,,,,,,
205,spatial_unsup,3_1b_task3 21161-21611,GET,y,n,GET=0.9976,TAKE=0.9951,EAT=0.9948,PICK=0.9894,THROW=0.9882,OPEN=0.9874,PUT=0.9860,GO=0.9855,PLAY=0.9785,WASH=0.9769,HOLD=0.9758,WALK=0.9721,DROP=0.9603,GIVE=0.9354
206,cnn_unsup,3_1b_task3 21161-21611,THROW,n,n,THROW=0.9961,PUT=0.9953,EAT=0.9943,PICK=0.9938,PLAY=0.9937,GO=0.9936,TAKE=0.9934,GIVE=0.9929,DROP=0.9925,GET=0.9919,WASH=0.9914,HOLD=0.9880,WALK=0.9879,OPEN=0.9871
207,spatial_sup,3_1b_task3 21161-21611,THROW,n,n,THROW=0.7274,GO=0.2311,PUT=0.2103,GET=0.2072,PLAY=0.1995,GIVE=0.1867,OPEN=0.0806,EAT=-0.1567,TAKE=-0.2302,DROP=-0.3434,PICK=-0.3605,WALK=-0.3849,WASH=-0.4712,HOLD=-0.5714
208,cnn_sup,3_1b_task3 21161-21611,THROW,n,n,THROW=0.7274,GO=0.2311,PUT=0.2103,GET=0.2072,PLAY=0.1995,GIVE=0.1867,OPEN=0.0806,EAT=-0.1567,TAKE=-0.2302,DROP=-0.3434,PICK=-0.3605,WALK=-0.3849,WASH=-0.4712,HOLD=-0.5714
209,rand,3_1b_task3 21161-21611,GET,y,n,,,,,,,,,,,,,,
210,spatial_unsup,3_1b_task3 21611-22061,GET,y,n,GET=0.9854,TAKE=0.9837,THROW=0.9811,PUT=0.9785,PICK=0.9770,EAT=0.9755,GO=0.9721,WASH=0.9705,HOLD=0.9667,OPEN=0.9629,WALK=0.9573,PLAY=0.9523,DROP=0.9484,GIVE=0.9443
211,cnn_unsup,3_1b_task3 21611-22061,WASH,y,y,WASH=0.9841,DROP=0.9822,EAT=0.9817,GO=0.9810,PICK=0.9809,PUT=0.9800,GIVE=0.9800,TAKE=0.9797,HOLD=0.9779,GET=0.9761,THROW=0.9752,OPEN=0.9735,PLAY=0.9707,WALK=0.9689
212,spatial_sup,3_1b_task3 21611-22061,TAKE,y,y,TAKE=0.6086,HOLD=0.5641,GIVE=0.3652,GO=0.1915,OPEN=0.1174,DROP=0.1100,THROW=0.1058,PICK=0.0512,WASH=-0.0060,EAT=-0.0592,PUT=-0.1605,GET=-0.3282,PLAY=-0.4730,WALK=-0.4848
213,cnn_sup,3_1b_task3 21611-22061,PICK,n,n,TAKE=0.6086,HOLD=0.5641,GIVE=0.3652,GO=0.1915,OPEN=0.1174,DROP=0.1100,THROW=0.1058,PICK=0.0512,WASH=-0.0060,EAT=-0.0592,PUT=-0.1605,GET=-0.3282,PLAY=-0.4730,WALK=-0.4848
214,rand,3_1b_task3 21611-22061,PUT,/,n,,,,,,,,,,,,,,
215,spatial_unsup,3_1b_task3 22061-22511,HOLD,n,y,HOLD=0.9032,DROP=0.9021,WASH=0.9015,WALK=0.8960,GIVE=0.8856,PUT=0.8761,PICK=0.8690,GO=0.8673,EAT=0.8448,THROW=0.8444,PLAY=0.8388,TAKE=0.8357,GET=0.8005,OPEN=0.7424
216,cnn_unsup,3_1b_task3 22061-22511,WASH,y,y,WASH=0.9762,DROP=0.9752,EAT=0.9741,PICK=0.9731,GO=0.9731,GIVE=0.9724,TAKE=0.9719,PUT=0.9716,HOLD=0.9715,OPEN=0.9671,GET=0.9666,THROW=0.9662,PLAY=0.9608,WALK=0.9591
217,spatial_sup,3_1b_task3 22061-22511,HOLD,n,y,HOLD=0.6428,DROP=0.5017,PICK=0.4496,EAT=0.3394,OPEN=0.2926,WALK=0.2001,TAKE=0.0884,GO=-0.0092,WASH=-0.0901,THROW=-0.2017,GIVE=-0.2212,GET=-0.3258,PUT=-0.3579,PLAY=-0.4074
218,cnn_sup,3_1b_task3 22061-22511,PICK,n,y,HOLD=0.6428,DROP=0.5017,PICK=0.4496,EAT=0.3394,OPEN=0.2926,WALK=0.2001,TAKE=0.0884,GO=-0.0092,WASH=-0.0901,THROW=-0.2017,GIVE=-0.2212,GET=-0.3258,PUT=-0.3579,PLAY=-0.4074
219,rand,3_1b_task3 22061-22511,HOLD,n,y,,,,,,,,,,,,,,
220,spatial_unsup,3_1b_task3 22511-22961,GIVE,n,n,GIVE=0.9496,WASH=0.9295,HOLD=0.9189,PUT=0.9019,DROP=0.9018,THROW=0.9000,WALK=0.8949,PICK=0.8947,GO=0.8921,TAKE=0.8841,EAT=0.8720,GET=0.8595,PLAY=0.8400,OPEN=0.8121
221,cnn_unsup,3_1b_task3 22511-22961,DROP,/,y,DROP=0.9882,GIVE=0.9866,PICK=0.9865,GO=0.9860,EAT=0.9859,WASH=0.9856,PUT=0.9855,TAKE=0.9853,HOLD=0.9840,THROW=0.9821,GET=0.9807,OPEN=0.9799,PLAY=0.9773,WALK=0.9730
222,spatial_sup,3_1b_task3 22511-22961,TAKE,y,y,TAKE=0.5987,HOLD=0.4277,PICK=0.3679,WASH=0.2848,DROP=0.1984,GIVE=0.1975,THROW=0.1244,GO=-0.0336,OPEN=-0.1127,WALK=-0.1350,GET=-0.2466,PUT=-0.3086,PLAY=-0.3488,EAT=-0.4965
223,cnn_sup,3_1b_task3 22511-22961,PICK,n,y,TAKE=0.5987,HOLD=0.4277,PICK=0.3679,WASH=0.2848,DROP=0.1984,GIVE=0.1975,THROW=0.1244,GO=-0.0336,OPEN=-0.1127,WALK=-0.1350,GET=-0.2466,PUT=-0.3086,PLAY=-0.3488,EAT=-0.4965
224,rand,3_1b_task3 22511-22961,GET,y,n,,,,,,,,,,,,,,
225,spatial_unsup,3_1b_task3 22961-23411,GIVE,n,n,GIVE=0.9533,WASH=0.9337,PUT=0.9246,HOLD=0.9215,PICK=0.9103,THROW=0.9103,DROP=0.9072,GO=0.9055,TAKE=0.9021,WALK=0.8966,EAT=0.8882,GET=0.8860,PLAY=0.8591,OPEN=0.8320
226,cnn_unsup,3_1b_task3 22961-23411,DROP,/,n,DROP=0.9894,PICK=0.9874,WASH=0.9867,GO=0.9866,GIVE=0.9866,PUT=0.9862,EAT=0.9859,TAKE=0.9855,HOLD=0.9829,GET=0.9829,THROW=0.9819,OPEN=0.9785,PLAY=0.9782,WALK=0.9755
227,spatial_sup,3_1b_task3 22961-23411,HOLD,y,y,HOLD=0.4161,TAKE=0.4032,PICK=0.3550,THROW=0.3537,DROP=0.2622,GIVE=0.2171,GO=0.0700,OPEN=0.0273,WASH=-0.0882,PUT=-0.2033,WALK=-0.2239,GET=-0.2366,EAT=-0.4060,PLAY=-0.5098
228,cnn_sup,3_1b_task3 22961-23411,PICK,y,y,HOLD=0.4161,TAKE=0.4032,PICK=0.3550,THROW=0.3537,DROP=0.2622,GIVE=0.2171,GO=0.0700,OPEN=0.0273,WASH=-0.0882,PUT=-0.2033,WALK=-0.2239,GET=-0.2366,EAT=-0.4060,PLAY=-0.5098
229,rand,3_1b_task3 22961-23411,OPEN,n,n,,,,,,,,,,,,,,
230,spatial_unsup,3_1b_task3 23411-23861,DROP,y,y,DROP=0.8267,GO=0.7979,WASH=0.7920,HOLD=0.7908,PICK=0.7786,THROW=0.7779,WALK=0.7775,PLAY=0.7736,PUT=0.7674,EAT=0.7491,GIVE=0.7437,TAKE=0.7373,GET=0.7343,OPEN=0.6936
231,cnn_unsup,3_1b_task3 23411-23861,DROP,y,y,DROP=0.9892,GIVE=0.9866,PICK=0.9860,GO=0.9841,PUT=0.9837,TAKE=0.9831,EAT=0.9821,WASH=0.9812,GET=0.9808,HOLD=0.9802,THROW=0.9801,OPEN=0.9782,PLAY=0.9770,WALK=0.9739
232,spatial_sup,3_1b_task3 23411-23861,THROW,n,n,THROW=0.3886,HOLD=0.3673,PICK=0.3179,GO=0.2402,WASH=0.1482,OPEN=0.0407,TAKE=0.0262,WALK=-0.0023,GIVE=-0.0801,GET=-0.1158,DROP=-0.1168,EAT=-0.1718,PUT=-0.2389,PLAY=-0.6679
233,cnn_sup,3_1b_task3 23411-23861,WALK,n,n,THROW=0.3886,HOLD=0.3673,PICK=0.3179,GO=0.2402,WASH=0.1482,OPEN=0.0407,TAKE=0.0262,WALK=-0.0023,GIVE=-0.0801,GET=-0.1158,DROP=-0.1168,EAT=-0.1718,PUT=-0.2389,PLAY=-0.6679
234,rand,3_1b_task3 23411-23861,EAT,n,n,,,,,,,,,,,,,,
235,spatial_unsup,3_1b_task3 23861-24311,GIVE,n,n,GIVE=0.8776,DROP=0.8768,WASH=0.8663,HOLD=0.8564,PUT=0.8455,WALK=0.8343,GO=0.8294,PICK=0.8273,PLAY=0.8006,EAT=0.7928,THROW=0.7874,TAKE=0.7775,GET=0.7408,OPEN=0.6697
236,cnn_unsup,3_1b_task3 23861-24311,DROP,/,n,DROP=0.9931,PICK=0.9914,PUT=0.9904,GO=0.9903,TAKE=0.9903,EAT=0.9899,HOLD=0.9881,GIVE=0.9880,THROW=0.9872,WASH=0.9870,GET=0.9864,PLAY=0.9849,OPEN=0.9838,WALK=0.9802
237,spatial_sup,3_1b_task3 23861-24311,HOLD,y,y,HOLD=0.6468,WASH=0.5689,PICK=0.4131,DROP=0.4090,OPEN=0.3708,GIVE=0.2987,GO=0.1593,TAKE=0.0861,EAT=0.0468,WALK=-0.2502,GET=-0.3201,THROW=-0.3379,PUT=-0.3660,PLAY=-0.5306
238,cnn_sup,3_1b_task3 23861-24311,TAKE,y,y,HOLD=0.6468,WASH=0.5689,PICK=0.4131,DROP=0.4090,OPEN=0.3708,GIVE=0.2987,GO=0.1593,TAKE=0.0861,EAT=0.0468,WALK=-0.2502,GET=-0.3201,THROW=-0.3379,PUT=-0.3660,PLAY=-0.5306
239,rand,3_1b_task3 23861-24311,WASH,/,n,,,,,,,,,,,,,,
240,spatial_unsup,3_1b_task3 24311-24761,WASH,n,n,WASH=0.8787,DROP=0.8768,HOLD=0.8757,GIVE=0.8709,WALK=0.8599,GO=0.8448,PICK=0.8390,THROW=0.8376,PUT=0.8361,EAT=0.8112,TAKE=0.8091,PLAY=0.8007,GET=0.7791,OPEN=0.7319
241,cnn_unsup,3_1b_task3 24311-24761,THROW,n,n,THROW=0.9976,PUT=0.9964,PICK=0.9957,PLAY=0.9953,DROP=0.9951,TAKE=0.9951,GIVE=0.9947,EAT=0.9946,GO=0.9945,GET=0.9922,HOLD=0.9913,OPEN=0.9893,WASH=0.9891,WALK=0.9885
242,spatial_sup,3_1b_task3 24311-24761,THROW,n,n,THROW=0.4803,GIVE=0.4503,TAKE=0.2498,EAT=0.2250,OPEN=0.1620,HOLD=0.0906,PUT=0.0816,PICK=0.0237,GO=-0.0163,WASH=-0.0460,GET=-0.0743,PLAY=-0.3987,DROP=-0.5805,WALK=-0.6106
243,cnn_sup,3_1b_task3 24311-24761,OPEN,n,n,THROW=0.4803,GIVE=0.4503,TAKE=0.2498,EAT=0.2250,OPEN=0.1620,HOLD=0.0906,PUT=0.0816,PICK=0.0237,GO=-0.0163,WASH=-0.0460,GET=-0.0743,PLAY=-0.3987,DROP=-0.5805,WALK=-0.6106
244,rand,3_1b_task3 24311-24761,WASH,n,n,,,,,,,,,,,,,,
245,spatial_unsup,3_1b_task4 24937-25387,THROW,n,n,THROW=0.0086,GIVE=0.0071,PLAY=0.0062,PUT=0.0061,EAT=0.0053,WALK=0.0045,GO=0.0045,GET=0.0040,TAKE=0.0039,WASH=0.0037,PICK=0.0036,OPEN=0.0036,DROP=0.0036,HOLD=0.0023
246,cnn_unsup,3_1b_task4 24937-25387,THROW,n,n,THROW=0.9958,PLAY=0.9944,GIVE=0.9937,PUT=0.9932,EAT=0.9921,TAKE=0.9914,GO=0.9914,PICK=0.9908,DROP=0.9904,HOLD=0.9902,OPEN=0.9885,GET=0.9879,WALK=0.9845,WASH=0.9843
247,spatial_sup,3_1b_task4 24937-25387,EAT,n,n,EAT=0.6778,OPEN=0.5107,GO=0.3701,GET=0.3069,PUT=0.0955,GIVE=0.0260,HOLD=0.0115,PLAY=0.0099,WASH=-0.2036,THROW=-0.2379,TAKE=-0.2742,DROP=-0.2936,WALK=-0.4204,PICK=-0.4748
248,cnn_sup,3_1b_task4 24937-25387,PUT,n,n,EAT=0.6778,OPEN=0.5107,GO=0.3701,GET=0.3069,PUT=0.0955,GIVE=0.0260,HOLD=0.0115,PLAY=0.0099,WASH=-0.2036,THROW=-0.2379,TAKE=-0.2742,DROP=-0.2936,WALK=-0.4204,PICK=-0.4748
249,rand,3_1b_task4 24937-25387,GIVE,n,n,,,,,,,,,,,,,,
250,spatial_unsup,3_1b_task4 25387-25837,OPEN,n,n,OPEN=0.9420,GET=0.9229,THROW=0.9084,TAKE=0.9071,EAT=0.8927,WALK=0.8857,PICK=0.8706,GO=0.8654,HOLD=0.8619,PLAY=0.8591,PUT=0.8424,WASH=0.8413,DROP=0.8164,GIVE=0.7462
251,cnn_unsup,3_1b_task4 25387-25837,THROW,y,y,THROW=0.9953,PLAY=0.9935,PUT=0.9920,GIVE=0.9911,PICK=0.9907,DROP=0.9903,TAKE=0.9900,GO=0.9895,EAT=0.9895,GET=0.9877,OPEN=0.9869,WALK=0.9843,HOLD=0.9838,WASH=0.9824
252,spatial_sup,3_1b_task4 25387-25837,THROW,y,y,THROW=0.7293,TAKE=0.4463,GIVE=0.3420,PICK=0.2271,DROP=0.1052,WASH=0.0466,OPEN=0.0203,GET=0.0099,HOLD=-0.0662,PLAY=-0.1248,PUT=-0.2103,GO=-0.2649,WALK=-0.3794,EAT=-0.4267
253,cnn_sup,3_1b_task4 25387-25837,THROW,y,y,THROW=0.7293,TAKE=0.4463,GIVE=0.3420,PICK=0.2271,DROP=0.1052,WASH=0.0466,OPEN=0.0203,GET=0.0099,HOLD=-0.0662,PLAY=-0.1248,PUT=-0.2103,GO=-0.2649,WALK=-0.3794,EAT=-0.4267
254,rand,3_1b_task4 25387-25837,HOLD,y,y,,,,,,,,,,,,,,
255,spatial_unsup,3_1b_task4 25837-26287,DROP,y,n,DROP=0.7654,GIVE=0.7614,PUT=0.7606,PLAY=0.7315,WASH=0.7311,GO=0.7293,PICK=0.7225,HOLD=0.7025,EAT=0.6881,WALK=0.6624,TAKE=0.6600,THROW=0.6525,GET=0.6505,OPEN=0.5776
256,cnn_unsup,3_1b_task4 25837-26287,PLAY,y,y,PLAY=0.9944,THROW=0.9937,PUT=0.9923,EAT=0.9916,DROP=0.9912,GIVE=0.9912,TAKE=0.9908,GO=0.9908,PICK=0.9908,OPEN=0.9887,GET=0.9885,HOLD=0.9880,WALK=0.9870,WASH=0.9842
257,spatial_sup,3_1b_task4 25837-26287,PUT,n,n,PUT=0.5317,PLAY=0.5066,GET=0.3845,GIVE=0.2925,THROW=0.1992,DROP=-0.1211,GO=-0.1267,OPEN=-0.1448,WALK=-0.1825,PICK=-0.2693,TAKE=-0.3534,EAT=-0.4071,WASH=-0.4452,HOLD=-0.7737
258,cnn_sup,3_1b_task4 25837-26287,WALK,y,n,PUT=0.5317,PLAY=0.5066,GET=0.3845,GIVE=0.2925,THROW=0.1992,DROP=-0.1211,GO=-0.1267,OPEN=-0.1448,WALK=-0.1825,PICK=-0.2693,TAKE=-0.3534,EAT=-0.4071,WASH=-0.4452,HOLD=-0.7737
259,rand,3_1b_task4 25837-26287,THROW,n,n,,,,,,,,,,,,,,
260,spatial_unsup,3_1b_task4 26287-26737,PUT,n,n,PUT=0.7528,GET=0.7426,GIVE=0.7423,GO=0.7341,PICK=0.7323,PLAY=0.7268,TAKE=0.7248,EAT=0.7241,OPEN=0.7188,WASH=0.7176,THROW=0.7166,DROP=0.7102,HOLD=0.6897,WALK=0.6532
261,cnn_unsup,3_1b_task4 26287-26737,PLAY,y,y,PLAY=0.9960,DROP=0.9943,THROW=0.9943,OPEN=0.9940,PUT=0.9938,PICK=0.9937,TAKE=0.9936,EAT=0.9936,GO=0.9930,GIVE=0.9912,GET=0.9905,HOLD=0.9905,WALK=0.9883,WASH=0.9867
262,spatial_sup,3_1b_task4 26287-26737,PUT,n,n,PUT=0.6522,THROW=0.5717,GIVE=0.2495,GET=0.1681,GO=0.1091,EAT=-0.1177,PLAY=-0.1718,DROP=-0.2323,WALK=-0.2403,OPEN=-0.2579,TAKE=-0.2693,HOLD=-0.3985,WASH=-0.5011,PICK=-0.5115
263,cnn_sup,3_1b_task4 26287-26737,WASH,n,n,PUT=0.6522,THROW=0.5717,GIVE=0.2495,GET=0.1681,GO=0.1091,EAT=-0.1177,PLAY=-0.1718,DROP=-0.2323,WALK=-0.2403,OPEN=-0.2579,TAKE=-0.2693,HOLD=-0.3985,WASH=-0.5011,PICK=-0.5115
264,rand,3_1b_task4 26287-26737,THROW,n,y,,,,,,,,,,,,,,
265,spatial_unsup,3_1b_task4 26737-27187,GIVE,n,n,GIVE=0.7215,PUT=0.6374,WASH=0.6265,DROP=0.6062,HOLD=0.5974,PICK=0.5844,GO=0.5684,WALK=0.5587,EAT=0.5569,PLAY=0.5492,TAKE=0.5446,THROW=0.5121,GET=0.4982,OPEN=0.4212
266,cnn_unsup,3_1b_task4 26737-27187,THROW,y,y,THROW=0.9947,GIVE=0.9945,PLAY=0.9933,PUT=0.9917,OPEN=0.9915,EAT=0.9912,GO=0.9907,TAKE=0.9905,PICK=0.9898,DROP=0.9897,HOLD=0.9896,GET=0.9862,WASH=0.9837,WALK=0.9820
267,spatial_sup,3_1b_task4 26737-27187,PLAY,y,y,PLAY=0.5267,WASH=0.1865,THROW=0.1837,WALK=0.1803,DROP=0.1798,PUT=0.1598,GIVE=0.1131,GO=0.0533,TAKE=0.0079,EAT=-0.1697,HOLD=-0.4130,PICK=-0.4518,OPEN=-0.4668,GET=-0.5174
268,cnn_sup,3_1b_task4 26737-27187,PUT,n,n,PLAY=0.5267,WASH=0.1865,THROW=0.1837,WALK=0.1803,DROP=0.1798,PUT=0.1598,GIVE=0.1131,GO=0.0533,TAKE=0.0079,EAT=-0.1697,HOLD=-0.4130,PICK=-0.4518,OPEN=-0.4668,GET=-0.5174
269,rand,3_1b_task4 26737-27187,WASH,n,n,,,,,,,,,,,,,,
270,spatial_unsup,3_1b_task4 27187-27637,OPEN,n,n,OPEN=0.9498,GET=0.9397,TAKE=0.9248,EAT=0.9231,PUT=0.9035,PLAY=0.9030,PICK=0.9027,THROW=0.8990,GO=0.8934,WASH=0.8713,HOLD=0.8660,WALK=0.8625,DROP=0.8444,GIVE=0.8377
271,cnn_unsup,3_1b_task4 27187-27637,OPEN,n,n,OPEN=0.9941,GIVE=0.9936,THROW=0.9926,PLAY=0.9913,HOLD=0.9902,DROP=0.9894,EAT=0.9893,TAKE=0.9890,PUT=0.9889,GO=0.9887,PICK=0.9876,GET=0.9805,WASH=0.9770,WALK=0.9769
272,spatial_sup,3_1b_task4 27187-27637,TAKE,y,y,TAKE=0.7238,WASH=0.4411,PICK=0.4336,GET=0.4307,HOLD=0.2534,THROW=0.1297,OPEN=0.0963,WALK=0.0923,DROP=0.0689,PLAY=-0.0038,EAT=-0.1959,GIVE=-0.3278,GO=-0.4848,PUT=-0.6968
273,cnn_sup,3_1b_task4 27187-27637,HOLD,y,y,TAKE=0.7238,WASH=0.4411,PICK=0.4336,GET=0.4307,HOLD=0.2534,THROW=0.1297,OPEN=0.0963,WALK=0.0923,DROP=0.0689,PLAY=-0.0038,EAT=-0.1959,GIVE=-0.3278,GO=-0.4848,PUT=-0.6968
274,rand,3_1b_task4 27187-27637,GET,y,y,,,,,,,,,,,,,,
275,spatial_unsup,3_1b_task4 27637-28087,WASH,n,n,WASH=0.9943,HOLD=0.9913,THROW=0.9834,PICK=0.9830,GO=0.9815,WALK=0.9810,PUT=0.9802,DROP=0.9772,TAKE=0.9770,EAT=0.9757,GIVE=0.9713,GET=0.9640,PLAY=0.9558,OPEN=0.9392
276,cnn_unsup,3_1b_task4 27637-28087,THROW,n,n,THROW=0.9926,PLAY=0.9905,GIVE=0.9903,PUT=0.9882,EAT=0.9880,HOLD=0.9874,TAKE=0.9874,OPEN=0.9872,GO=0.9871,PICK=0.9856,DROP=0.9852,GET=0.9806,WALK=0.9773,WASH=0.9768
277,spatial_sup,3_1b_task4 27637-28087,DROP,n,n,DROP=0.5182,TAKE=0.4282,THROW=0.3493,HOLD=0.3076,GIVE=0.1827,WASH=0.1409,GET=0.0302,OPEN=0.0063,GO=-0.0815,PICK=-0.1147,PUT=-0.1281,EAT=-0.1742,WALK=-0.2613,PLAY=-0.3974
278,cnn_sup,3_1b_task4 27637-28087,DROP,n,n,DROP=0.5182,TAKE=0.4282,THROW=0.3493,HOLD=0.3076,GIVE=0.1827,WASH=0.1409,GET=0.0302,OPEN=0.0063,GO=-0.0815,PICK=-0.1147,PUT=-0.1281,EAT=-0.1742,WALK=-0.2613,PLAY=-0.3974
279,rand,3_1b_task4 27637-28087,DROP,n,n,,,,,,,,,,,,,,
280,spatial_unsup,3_1b_task4 28087-28537,OPEN,n,n,OPEN=0.9648,GET=0.9596,EAT=0.9460,TAKE=0.9419,PLAY=0.9401,PICK=0.9312,GO=0.9282,PUT=0.9274,THROW=0.9259,WASH=0.8984,HOLD=0.8958,WALK=0.8940,DROP=0.8884,GIVE=0.8462
281,cnn_unsup,3_1b_task4 28087-28537,HOLD,y,y,HOLD=0.9868,OPEN=0.9861,GIVE=0.9854,EAT=0.9841,THROW=0.9839,PLAY=0.9830,GO=0.9827,TAKE=0.9824,PUT=0.9818,DROP=0.9815,PICK=0.9796,GET=0.9728,WASH=0.9722,WALK=0.9688
282,spatial_sup,3_1b_task4 28087-28537,GO,n,n,GO=0.5643,OPEN=0.5145,EAT=0.4714,GIVE=0.2964,PUT=0.1649,HOLD=0.1277,THROW=0.0398,GET=-0.0750,DROP=-0.0817,PLAY=-0.1533,TAKE=-0.1592,PICK=-0.4185,WASH=-0.5888,WALK=-0.6361
283,cnn_sup,3_1b_task4 28087-28537,PUT,y,y,GO=0.5643,OPEN=0.5145,EAT=0.4714,GIVE=0.2964,PUT=0.1649,HOLD=0.1277,THROW=0.0398,GET=-0.0750,DROP=-0.0817,PLAY=-0.1533,TAKE=-0.1592,PICK=-0.4185,WASH=-0.5888,WALK=-0.6361
284,rand,3_1b_task4 28087-28537,HOLD,y,y,,,,,,,,,,,,,,
285,spatial_unsup,3_1b_task4 28537-28987,HOLD,y,y,HOLD=0.9442,WASH=0.9432,GIVE=0.9413,WALK=0.9389,TAKE=0.9317,THROW=0.9315,PICK=0.9180,PUT=0.9163,EAT=0.9157,GO=0.9056,GET=0.9048,DROP=0.8953,OPEN=0.8820,PLAY=0.8635
286,cnn_unsup,3_1b_task4 28537-28987,OPEN,n,n,OPEN=0.9931,HOLD=0.9912,GIVE=0.9899,DROP=0.9878,EAT=0.9874,GO=0.9867,THROW=0.9867,TAKE=0.9866,PLAY=0.9862,PUT=0.9852,PICK=0.9843,GET=0.9757,WASH=0.9744,WALK=0.9709
287,spatial_sup,3_1b_task4 28537-28987,WASH,n,n,WASH=0.8162,HOLD=0.5627,TAKE=0.3700,PICK=0.1886,GIVE=0.1804,OPEN=0.1732,EAT=0.0995,GO=0.0903,DROP=-0.0878,GET=-0.1238,THROW=-0.2203,WALK=-0.2629,PUT=-0.3933,PLAY=-0.4762
288,cnn_sup,3_1b_task4 28537-28987,PUT,n,/,WASH=0.8162,HOLD=0.5627,TAKE=0.3700,PICK=0.1886,GIVE=0.1804,OPEN=0.1732,EAT=0.0995,GO=0.0903,DROP=-0.0878,GET=-0.1238,THROW=-0.2203,WALK=-0.2629,PUT=-0.3933,PLAY=-0.4762
289,rand,3_1b_task4 28537-28987,PICK,n,n,,,,,,,,,,,,,,
290,spatial_unsup,3_1b_task4 28987-29437,OPEN,n,n,OPEN=0.9228,GET=0.9183,PLAY=0.9163,EAT=0.8975,GO=0.8956,THROW=0.8902,PICK=0.8873,TAKE=0.8871,PUT=0.8687,DROP=0.8639,WALK=0.8631,HOLD=0.8514,WASH=0.8412,GIVE=0.7346
291,cnn_unsup,3_1b_task4 28987-29437,OPEN,n,n,OPEN=0.9914,GIVE=0.9911,HOLD=0.9887,THROW=0.9862,DROP=0.9859,PLAY=0.9854,GO=0.9852,EAT=0.9850,TAKE=0.9846,PUT=0.9838,PICK=0.9831,GET=0.9756,WASH=0.9734,WALK=0.9710
292,spatial_sup,3_1b_task4 28987-29437,GET,y,y,GET=0.4459,GO=0.3950,PLAY=0.3294,OPEN=0.2958,THROW=0.2373,TAKE=0.0581,GIVE=-0.0695,EAT=-0.1070,PUT=-0.1589,DROP=-0.1875,HOLD=-0.2769,WASH=-0.2805,WALK=-0.3779,PICK=-0.4354
293,cnn_sup,3_1b_task4 28987-29437,PUT,y,y,GET=0.4459,GO=0.3950,PLAY=0.3294,OPEN=0.2958,THROW=0.2373,TAKE=0.0581,GIVE=-0.0695,EAT=-0.1070,PUT=-0.1589,DROP=-0.1875,HOLD=-0.2769,WASH=-0.2805,WALK=-0.3779,PICK=-0.4354
294,rand,3_1b_task4 28987-29437,THROW,n,n,,,,,,,,,,,,,,
295,spatial_unsup,3_1b_task4 29437-29887,OPEN,n,n,OPEN=0.7943,GET=0.7638,TAKE=0.7362,EAT=0.7261,PLAY=0.6953,THROW=0.6946,PUT=0.6898,PICK=0.6894,GO=0.6728,WALK=0.6450,WASH=0.6387,HOLD=0.6380,GIVE=0.6016,DROP=0.5986
